Title,Link,Store,Price
Cooler Master MM830 Wired Optical Gaming Mouse with RGB Lighting - Gunmetal Black (CLEARANCE YMMV) $39.99,/f/14057042-cooler-master-mm830-wired-optical-gaming-mouse-with-rgb-lighting-gunmetal-black-clearance-ymmv-39-99?src=catpagev2,Best Buy,$39.99
TP-Link TL-SG1048 Unmanaged 48-Port Gigabit Switch - $169.99 AC,/f/14053175-tp-link-tl-sg1048-unmanaged-48-port-gigabit-switch-169-99-ac?src=catpagev2,Newegg,
Apple - iPad (Latest Model) with Wi-Fi - 32GB - Space  Gray. SAVE $80 $249.99,/f/14053580-apple-ipad-latest-model-with-wi-fi-32gb-space-gray-save-80-249-99?src=catpagev2,Best Buy,$249.99
"24"" LG 24BK430H-B 1920x1080 IPS LED Monitor w/ FreeSync $119.99",/f/14052137-24-lg-24bk430h-b-1920x1080-ips-led-monitor-w-freesync-119-99?src=catpagev2,Newegg,$119.99
"ROG Zephyrus M Thin and Portable Gaming Laptop, 15.6"" 240Hz FHD IPS, NVIDIA GeForce GTX 1660 Ti, Intel Core i7-9750H, 16GB DDR4 RAM, 512GB PCIe SSD, Per-Key RGB $1299.99 + FS",/f/14050448-rog-zephyrus-m-thin-and-portable-gaming-laptop-15-6-240hz-fhd-ips-nvidia-geforce-gtx-1660-ti-intel-core-i7-9750h-16gb-ddr4-ram-512gb-pcie-ssd-per-key-rgb-1299-99-fs?src=catpagev2,Newegg,"$1,299.99"
"32GB (2x16GB) G.SKILL DDR4 3200 Desktop Memory: Ripjaws V Series  $129.50, Aegis $120 + Free S&H",/f/14056721-32gb-2x16gb-g-skill-ddr4-3200-desktop-memory-ripjaws-v-series-129-50-aegis-120-free-s-h?src=catpagev2,eBay,$129.50
"Flash Memory Card Reader, UNITEK 3-Port USB 3.0 Hub SD MS CF TF M2 Card Reader Combo w/ 5V 2A Adapter Supports SanDisk Compact Flash Memory Card & Lexar Pro CompactFlash Card $8.99",/f/14056163-flash-memory-card-reader-unitek-3-port-usb-3-0-hub-sd-ms-cf-tf-m2-card-reader-combo-w-5v-2a-adapter-supports-sandisk-compact-flash-memory-card-lexar-pro-compactflash-card-8-99?src=catpagev2,Newegg,$8.99
Ubiquiti Networks UniFi nanoHD 4x4 MU-MIMO 802.11ac Wave-2 AP - $158.34 + F/S w/ Prime,/f/14052011-ubiquiti-networks-unifi-nanohd-4x4-mu-mimo-802-11ac-wave-2-ap-158-34-f-s-w-prime?src=catpagev2,Amazon,$158.34
Wacom - Bamboo Ink Smart Stylus for Windows Ink; 2nd Generation - Gray $35,/f/14052983-wacom-bamboo-ink-smart-stylus-for-windows-ink-2nd-generation-gray-35?src=catpagev2,Best Buy,$34.99
B&H: SanDisk 2TB Extreme Portable USB 3.1 Type-C External SSD $299,/f/14050808-b-h-sandisk-2tb-extreme-portable-usb-3-1-type-c-external-ssd-299?src=catpagev2,B&H Photo Video,$299
Surface Pro 7 Bundle  i7/16GB/256GB Bundle Black $1300 Costco Starts 5/20/20 with Typecover Pen $1299.99,/f/14056826-surface-pro-7-bundle-i7-16gb-256gb-bundle-black-1300-costco-starts-5-20-20-with-typecover-pen-1299-99?src=catpagev2,Costco Wholesale,"$1,299.99"
50% off Wifi network analysis software and hardware and bundles,/f/14057273-50-off-wifi-network-analysis-software-and-hardware-and-bundles?src=catpagev2,,
Netgear CM1100 32x8 Docsis 3.1 Cable Modem (refurb) - $94.99 + free ship at DealParade,/f/14052140-netgear-cm1100-32x8-docsis-3-1-cable-modem-refurb-94-99-free-ship-at-dealparade?src=catpagev2,,$94.99
G910 rgb mechanical gaming keyboard $99.99,/f/14050400-g910-rgb-mechanical-gaming-keyboard-99-99?src=catpagev2,,$99.99
Newegg - Rosewill RTK-ASM Anti-Static Mat - $12.50 FS,/f/14050715-newegg-rosewill-rtk-asm-anti-static-mat-12-50-fs?src=catpagev2,Newegg,
"YMMV 449.99 Samsung - Galaxy Tab S6 - 10.5"" - 128GB $449.99",/f/14057252-ymmv-449-99-samsung-galaxy-tab-s6-10-5-128gb-449-99?src=catpagev2,Walmart,$449.99
"Avast Cleanup Premium 2020, 5-Devices 1-Year (88% Off) for $4.99, AVG Internet Security 2020 5-Devices 1-Year for $11.99",/f/14052545-avast-cleanup-premium-2020-5-devices-1-year-88-off-for-4-99-avg-internet-security-2020-5-devices-1-year-for-11-99?src=catpagev2,Newegg,$4.99
"PNY Technologies 500GB SATA III 2.5"" Internal SSD $54.99 + Free Shipping",/f/14051828-pny-technologies-500gb-sata-iii-2-5-internal-ssd-54-99-free-shipping?src=catpagev2,B&H Photo Video,$54.99
"Blue TIKI Noise-Cancelling USB Microphone for Skype, Zoom & Recording $19.99 + FS",/f/14049737-blue-tiki-noise-cancelling-usb-microphone-for-skype-zoom-recording-19-99-fs?src=catpagev2,,$19.99
Ubiquiti UniFi AC UAP-AC-M-US Mesh  Access Point $76,/f/14056931-ubiquiti-unifi-ac-uap-ac-m-us-mesh-access-point-76?src=catpagev2,Staples,$76
HDR Projects 7 Professional: Photo Editing Software $30,/f/14057195-hdr-projects-7-professional-photo-editing-software-30?src=catpagev2,,
XFX - THICC II Pro AMD Radeon RX 5500 XT 8GB GDDR6 PCI Express 4.0 Graphics Card - Black $190,/f/14047736-xfx-thicc-ii-pro-amd-radeon-rx-5500-xt-8gb-gddr6-pci-express-4-0-graphics-card-black-190?src=catpagev2,Best Buy,$190
"AMD Ryzen 9 3900X 12-core, 24-Thread Unlocked Desktop Processor with Wraith Prism LED Cooler [Processor] $409",/f/14051843-amd-ryzen-9-3900x-12-core-24-thread-unlocked-desktop-processor-with-wraith-prism-led-cooler-processor-409?src=catpagev2,Amazon,$409.99
5TB Seagate Backup Plus USB 3.0 External Hard Drive,/f/14050355-5tb-seagate-backup-plus-usb-3-0-external-hard-drive-90-free-s-h?src=catpagev2,Staples,$90
Pacsafe Intasafe Z400 Shoulder Bag w/ RFIDsafe blocking material $66.73 or Pacsae Dry Beach Bag $74.73 + Free shipping,/f/14049971-pacsafe-intasafe-z400-shoulder-bag-w-rfidsafe-blocking-material-66-73-or-pacsae-dry-beach-bag-74-73-free-shipping?src=catpagev2,REI,$66.73
"Acer R251 bid 25"" Full HD 60Hz IPS LED Monitor for $109.99 @ Micro Center B&M Only",/f/14056502-acer-r251-bid-25-full-hd-60hz-ips-led-monitor-for-109-99-micro-center-b-m-only?src=catpagev2,,
AVG Internet Security (5 Devices) (1-Year Subscription) - Android|Mac|Windows $8,/f/14047721-avg-internet-security-5-devices-1-year-subscription-android-mac-windows-8?src=catpagev2,Best Buy,$8
Boxis AutoShred 110-Sheet Autofeed Microcut Shredder $99,/f/14051336-boxis-autoshred-110-sheet-autofeed-microcut-shredder-99?src=catpagev2,,$99
"Mac OS/Windows Digital Apps: Waltr 2 $5, iStat Menu or Commander One Pro",/f/14047286-bundlehunt-spring-deal-macos-and-windows-apps-including-istat-menus-flux-7-0-waltr-2-a-better-finder-attributes-6-etc-from-2?src=catpagev2,,$6
"Malwarebytes Anti-Malware Premium 3.0 (5 Devices/1-Year, Download)",/f/14047601-malwarebytes-anti-malware-3-0-5-devices-1-year-key-card-or-download-29-99?src=catpagev2,Newegg,$30
"Eluktronics RP-17 17.3"" 144Hz 16GB DDR4 3200MHz 512GB PCIe NVMe SSD RTX 2060 AMD Ryzen 7 4800H Gaming Laptop $1,189",/f/14055329-eluktronics-rp-17-17-3-144hz-16gb-ddr4-3200mhz-512gb-pcie-nvme-ssd-rtx-2060-amd-ryzen-7-4800h-gaming-laptop-1-189?src=catpagev2,,"$1,189"
"HP Laptop 15.6"" - Intel i5-1035G1 - 12 GB RAM - 256 GB NVMe SSD - FHD 1920 x 1080 - w/ free shipping - $610",/f/14045885-hp-laptop-15-6-intel-i5-1035g1-12-gb-ram-256-gb-nvme-ssd-fhd-1920-x-1080-w-free-shipping-610?src=catpagev2,,$610
Logitech G Pro Wired Headset $44.99 + Free Shipping,/f/14047526-logitech-g-pro-wired-headset-44-99-free-shipping?src=catpagev2,,$44.99
First Alert Onelink-Mesh Tri-Band WiFi Router System 2-pack at Costco $150,/f/14052818-first-alert-onelink-mesh-tri-band-wifi-router-system-2-pack-at-costco-150?src=catpagev2,Costco Wholesale,$150
"Cooler Master MasterCase H100 Mini-ITX Case w/ 200mm RGB Fan, Mesh Front Panel, Built-In Handle @Newegg (AR) $54",/f/14047916-cooler-master-mastercase-h100-mini-itx-case-w-200mm-rgb-fan-mesh-front-panel-built-in-handle-newegg-ar-54?src=catpagev2,Newegg,$49.99
"128GB Apple iPad 7th Gen 10.2"" WiFi Tablet (2019 Model)",/f/14054792-apple-ipad-latest-model-with-wi-fi-128gb-all-colors-329-99?src=catpagev2,Best Buy,$330
"onn-brand (Wal Mart) USB 2.0 Flash Drives, 16GB 3-pack - $7, 32GB - $3, 64GB - $5",/f/14046779-onn-brand-wal-mart-usb-2-0-flash-drives-16gb-3-pack-7-32gb-3-64gb-5?src=catpagev2,Walmart,
Staples Online Coupon: Additional Savings on Select Categories,/f/14050322-staples-online-coupon-25-off-100-or-more-free-shipping-thru-5-17?src=catpagev2,Staples,$25 off $100
Kobo Clara HD 6&quot; 300ppi Carta E-Ink 8GB Touchscreen WiFi E-Reader - KoboBooks.com $90,/f/14049878-kobo-clara-hd-6-amp-quot-300ppi-carta-e-ink-8gb-touchscreen-wifi-e-reader-kobobooks-com-90?src=catpagev2,,$90
Netgear CM500 16X4 Docsis 3.0 Cable Modem (Refurbished),/f/14054996-netgear-certified-refurbished-docsis-3-0-cable-modem-with-16x4-max-cm500-100nar-24-99?src=catpagev2,Walmart,$25
512GB XPG SX8100 M.2 2280 PCIe NVMe Solid State Drive + $5 Newegg Promo GC,/f/14045258-xpg-sx8100-512gb-pcie-gen3x4-m-2-2280-ssd-5-newegg-gc-for-64-99-fs?src=catpagev2,Newegg,$65
"Apple Smart Folio for 12.9"" iPad Pro (2018, Charcoal Gray)",/f/14045099-apple-smart-folio-for-12-9-inch-ipad-pro-2018-charcoal-gray-30?src=catpagev2,Verizon Wireless,$30
